side,entry_time,entry_price,exit_time,exit_price,holding_days,exit_reason,trade_return
1,2015-10-14,251.08,2015-10-14,253.5,0,intraday_close,0.009638362274972057
1,2015-10-15,253.5,2015-10-15,255.19,0,intraday_close,0.006666666666666599
1,2015-10-20,265.02,2015-10-20,270.97,0,intraday_close,0.022451135763338792
1,2015-10-21,270.99,2015-10-21,267.8,0,intraday_close,-0.011771652090483031
1,2015-10-22,267.99,2015-10-22,275.83,0,intraday_close,0.029254822941154446
1,2015-10-27,287.22,2015-10-27,295.29,0,intraday_close,0.0280969291832045
1,2015-10-28,295.29,2015-10-28,304.5,0,intraday_close,0.031189677943716188
1,2015-10-30,314.23,2015-10-30,328.19,0,intraday_close,0.0444260573465296
1,2015-11-02,330.23,2015-11-02,365.33,0,intraday_close,0.10628955576416432
1,2015-11-13,336.86,2015-11-13,338.53,0,intraday_close,0.004957549130202299
1,2015-11-16,320.8,2015-11-16,332.1,0,intraday_close,0.03522443890274318
1,2015-11-18,336.29,2015-11-18,335.94,0,intraday_close,-0.001040768384430124
-1,2015-11-25,320.49,2015-11-25,329.85,0,intraday_close,-0.028376534788540297
-1,2015-11-26,329.85,2015-11-26,354.0,0,intraday_close,-0.0682203389830508
1,2015-12-10,418.86,2015-12-10,414.94,0,intraday_close,-0.009358735615718872
1,2015-12-14,432.91,2015-12-14,442.59,0,intraday_close,0.0223603058372408
1,2015-12-18,455.71,2015-12-18,463.52,0,intraday_close,0.017138092207763744
1,2015-12-21,442.62,2015-12-21,437.52,0,intraday_close,-0.0115222990375492
1,2016-01-08,458.41,2016-01-08,454.0,0,intraday_close,-0.009620208983224687
1,2016-01-14,431.09,2016-01-14,429.25,0,intraday_close,-0.004268250249367833
-1,2016-01-15,429.27,2016-01-15,359.16,0,intraday_close,0.19520547945205458
-1,2016-02-01,365.58,2016-02-01,371.42,0,intraday_close,-0.01572343977168711
1,2016-02-08,372.26,2016-02-08,370.49,0,intraday_close,-0.004754741309837107
-1,2016-02-10,374.43,2016-02-10,381.17,0,intraday_close,-0.01768239892961143
-1,2016-02-15,408.3,2016-02-15,399.9,0,intraday_close,0.021005251312828266
